,United States, New York City,WA,OR,ND,TN,HI,AL,UT,GA,MN,DE,KY,MD,NJ,DC,VT,PR,MO,WV,NH,SD,RI,PA,AR,IN,MI,CO,AZ,OK,NV,SC,WI,MT,LA,NY,FL,CA,IA,TX,NM,IL,OH,NE,MA,WY,ME,VI,ID,MS,CT,AK,KS,VA,NC
5/20/19,56.34968863,73.12689402,60.90935446,55.0868534,48.95472342,49.40358754,138.8329122,40.32854027,63.63471226,58.65034249,53.27231592,37.79374103,41.52524963,41.98191159,39.14183428,60.74468581,42.33452779,35.20923221,44.06374964,45.4932961,50.24865679,56.11525701,42.64717486,48.98894257,49.19029187,38.10677487,47.35929865,64.5618286,52.47418718,46.28831685,68.69763794,37.73901245,46.08331471,53.2919528,46.35336163,60.27356268,64.42129149,65.96764909,41.41873223,66.61091502,52.30566055,48.57686457,38.31398011,46.78790321,50.66677088,53.16745348,44.80746577,127.1151262,57.89237433,46.5593557,42.07371859,89.29192372,61.29485179,49.58028696,41.79264123
5/27/19,55.26406712,69.5128943,60.05088314,56.07614291,56.41514759,46.35820903,131.8830789,40.87578456,53.21992076,61.02806267,50.14042198,28.65255733,35.74313866,38.50151976,35.66859513,67.89711763,33.00414076,29.27241763,45.38050609,35.97552546,34.08018027,50.17297193,34.68541028,44.56467362,42.2010589,38.43865407,44.15789541,59.39945171,57.86481577,48.09459776,68.50022047,35.03687796,44.36044923,49.3221469,45.34380021,58.23414248,63.89070184,65.65458775,40.76534739,66.63054431,54.13482885,45.08915037,38.62764914,44.48409689,46.33822037,56.33064004,47.42765619,132.4455046,65.23829083,42.54608605,36.71716466,101.6741173,59.87886389,47.90190539,44.17527474
6/3/19,54.71910621,66.26034014,52.6164568,50.19917594,54.52026528,47.5575359,120.0296435,35.92423515,52.43106189,59.83822401,51.32405378,32.2538572,37.45558279,37.90664918,40.38413026,54.71626113,38.06723927,41.7259397,46.83229979,43.33489269,39.42262106,52.913984,34.1825107,45.32183187,43.9672737,39.50595575,44.25430728,61.45627091,53.61848179,45.48807291,73.48440099,39.33080705,42.35421553,52.49646449,41.15766263,56.32014619,65.44059093,65.3950205,45.82701524,66.51598765,53.06200366,42.79645318,37.73907959,48.24972922,43.74128736,54.47100963,44.63093663,72.56627722,53.00541058,40.55824629,32.59686031,107.2002658,55.17880338,47.54692073,40.5631125
6/10/19,56.82442083,66.9615664,61.24718041,62.75316616,59.43557539,48.85896057,124.5769788,43.75653336,60.26408841,59.25239337,52.46301789,32.40223644,39.72842203,38.37240526,36.20143953,60.0550518,46.71538217,40.27723456,43.9226124,44.13701068,40.45219607,52.90529366,34.48240859,45.83500421,44.35207821,42.81496579,46.1441152,60.70893875,54.20137077,49.04437424,67.85347636,41.05253509,45.32931159,53.96710446,42.8923338,55.90248157,67.93929591,68.75869948,42.94858313,68.78926284,50.87092109,46.82061275,38.42441268,54.33951391,44.27578073,61.60006292,47.79831315,99.84850093,67.9833959,46.58958463,41.56971347,92.42982002,58.40987741,50.47056505,45.64511648
6/17/19,55.97080488,61.48581662,59.14092011,58.90981614,43.43315655,47.2078701,124.2991761,43.20299105,61.9632383,62.80186815,48.0994097,37.81966017,42.00424042,40.29599854,37.30183893,58.90354885,48.12745568,31.494331,42.99660136,44.37389565,44.46538731,48.95133125,30.84600506,45.92867649,46.37455586,43.44727977,46.97249628,62.96386946,58.9467105,46.36783741,68.32354352,38.95914675,53.16711008,57.24822033,43.25726005,52.40742296,67.15316476,67.25309088,39.19966118,65.13543726,51.05606781,45.4316686,41.53052157,43.55612231,46.27824236,63.7102418,49.89675049,171.6467624,59.48311582,43.84621826,38.26523211,100.8609867,59.34367211,46.23236958,48.15779824
6/24/19,57.38109141,64.28232291,62.62389637,62.98060427,61.2737897,53.95166825,129.4820294,43.75036329,66.55333284,58.98191434,50.08554748,37.17915151,43.1098888,39.96439147,39.34220102,70.03798282,46.2958018,45.09358352,45.56040832,39.44746152,45.72533379,65.58876532,42.19675659,46.95349812,50.9626682,40.02087585,48.47501907,59.26455566,58.23021075,46.32799808,65.39402553,41.25897632,45.86666203,64.15736203,43.76480321,54.31740765,65.9137917,68.60462208,40.76347351,71.68062856,49.61722075,48.07258995,39.25006784,54.22222719,46.27599451,56.99799535,51.91304548,85.92313565,61.85406669,49.12014776,35.78904082,90.77341555,59.49506852,47.08183774,44.97754315
7/1/19,55.85729158,63.21780466,59.03670278,49.04179638,51.89495859,51.87229564,116.8366509,42.591348,55.91890476,56.82738793,46.51566772,36.77414874,43.38726274,39.91696358,41.43323719,62.79576807,41.79242232,45.88945655,47.12087251,43.05457911,38.01221461,55.34400932,32.54077645,44.96775724,47.93692036,44.88968246,47.30612733,59.58033285,58.75590083,52.52415385,67.86197503,43.76443112,43.68021026,49.98545285,42.59687137,53.47594954,65.31171705,63.21358535,44.56551621,71.48389498,52.05173081,45.06482055,39.70673757,49.19195647,47.32581065,54.50789913,35.96545405,123.2522334,55.83233836,47.78253979,34.12320879,90.42219078,56.44027886,48.49632349,46.59300151
7/8/19,56.59958389,67.2937658,56.41222431,58.66734516,71.12083848,49.97485661,117.6503963,41.11050358,54.91172963,56.65065784,53.05754821,49.98869101,41.37992303,42.53671969,43.48841701,58.10949621,51.85761318,43.41495059,43.7061495,48.02215055,35.2248905,53.15177687,33.19926384,47.20332629,44.83191289,41.10282532,45.94771856,63.21836578,56.74983243,49.20995393,71.28793666,40.98972301,45.1262808,54.62248814,40.69424722,56.20689888,63.83009446,64.86125201,41.17320476,72.61862428,57.29223856,45.7499913,40.54351866,45.18930968,44.42055523,68.89956669,42.59093704,65.11588086,59.43301704,41.13558059,34.44475376,84.1912629,60.41997123,50.41262724,48.20116001
7/15/19,56.14964347,67.67976759,58.62027021,58.4847861,51.99747171,48.86164808,121.0529882,42.67898099,59.32299942,56.99057721,53.97219209,37.06918961,39.43580343,38.60741434,39.54447091,59.30069937,35.9535548,28.7483983,47.85517965,53.37132762,39.8250736,56.09892118,32.58633404,45.10527991,40.84421065,39.64982003,47.10135863,57.28012948,55.71056073,49.34290886,69.22005826,41.2911289,43.78817049,57.07250314,45.26417978,56.392468,65.85000587,64.75344522,43.10626613,68.73961823,53.03469418,46.87945871,40.37962559,51.6903776,49.03598857,58.98690777,40.79756421,25.25087346,68.79197525,44.85800281,37.06704327,103.5717808,58.86434184,50.76674301,44.89561315
7/22/19,54.56343483,68.28730777,60.1477793,57.32284455,59.30842608,47.6185369,105.1170641,42.52514612,54.8415225,57.2016478,49.30454788,37.87990565,39.63012192,40.20114784,40.60857529,67.9170929,31.22193236,39.25761609,48.7610046,45.38428588,49.6493397,55.16000176,37.52576739,45.11168585,46.88819426,40.92300581,47.02336357,57.7385963,51.9516677,47.79942611,65.71417074,42.25325114,46.06334342,58.58067818,42.99623461,56.64017825,64.912703,64.16123611,44.29226623,58.20802793,53.34367143,48.41208764,38.64349762,51.80243989,44.52712615,70.1389437,35.24705745,86.49627793,60.00151468,46.10405295,36.28927885,85.56876581,62.21734899,50.84336711,48.06060376
